shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10006,44.223781,-76.526315,10001
10006,44.223634,-76.526161,10002
10006,44.223610,-76.526129,10003
10006,44.223590,-76.526092,10004
10006,44.223574,-76.526052,10005
10006,44.223561,-76.526009,10006
10006,44.223552,-76.525954,10007
10006,44.223550,-76.525919,10008
10006,44.223538,-76.525413,10009
10006,44.222434,-76.525298,10010
10006,44.222420,-76.525296,10011
10006,44.222420,-76.525296,20001
10006,44.221515,-76.525203,20002
10006,44.221515,-76.525203,30001
10006,44.221345,-76.525186,30002
10006,44.220939,-76.525148,30003
10006,44.220448,-76.524997,30004
10006,44.220518,-76.523810,30005
10006,44.220561,-76.522970,30006
10006,44.220561,-76.522970,40001
10006,44.220581,-76.522583,40002
10006,44.220688,-76.520773,40003
10006,44.220688,-76.520773,50001
10006,44.220705,-76.520468,50002
10006,44.220726,-76.520034,50003
10006,44.220801,-76.520020,50004
10006,44.220849,-76.520004,50005
10006,44.220871,-76.519993,50006
10006,44.220916,-76.519963,50007
10006,44.220956,-76.519926,50008
10006,44.220984,-76.519893,50009
10006,44.221017,-76.519844,50010
10006,44.221025,-76.519832,50011
10006,44.221262,-76.519361,50012
10006,44.221516,-76.518862,50013
10006,44.221724,-76.518498,50014
10006,44.222161,-76.517652,50015
10006,44.222228,-76.517481,50016
10006,44.222270,-76.517316,50017
10006,44.222270,-76.517316,60001
10006,44.222579,-76.516096,60002
10006,44.222953,-76.514925,60003
10006,44.223085,-76.514502,60004
10006,44.223085,-76.514502,70001
10006,44.223296,-76.513832,70002
10006,44.223626,-76.512766,70003
10006,44.223902,-76.511792,70004
10006,44.223902,-76.511792,80001
10006,44.224075,-76.511180,80002
10006,44.224441,-76.509997,80003
10006,44.224441,-76.509997,90001
10006,44.224490,-76.509838,90002
10006,44.224684,-76.509215,90003
10006,44.224843,-76.508676,90004
10006,44.224962,-76.508300,90005
10006,44.225219,-76.507429,90006
10006,44.225559,-76.506356,90007
10006,44.225559,-76.506356,100001
10006,44.225697,-76.505922,100002
10006,44.225967,-76.505042,100003
10006,44.225967,-76.505042,110001
10006,44.226003,-76.504927,110002
10006,44.226143,-76.504462,110003
10006,44.226362,-76.503765,110004
10006,44.226430,-76.503543,110005
10006,44.226702,-76.502653,110006
10006,44.226702,-76.502653,120001
10006,44.226752,-76.502489,120002
10006,44.226844,-76.502190,120003
10006,44.226880,-76.502060,120004
10006,44.226896,-76.501994,120005
10006,44.226909,-76.501927,120006
10006,44.227008,-76.501368,120007
10006,44.227269,-76.499912,120008
10006,44.227269,-76.499912,130001
10006,44.227300,-76.499737,130002
10006,44.227581,-76.498234,130003
10006,44.227581,-76.498234,140001
10006,44.227583,-76.498223,140002
10006,44.227851,-76.496751,140003
10006,44.227922,-76.496266,140004
10006,44.227927,-76.496225,140005
10006,44.227931,-76.496142,140006
10006,44.227932,-76.496018,140007
10006,44.227929,-76.495971,140008
10006,44.227929,-76.495971,150001
10006,44.227899,-76.495553,150002
10006,44.225414,-76.495579,150003
10006,44.225414,-76.495579,160001
10006,44.225093,-76.495582,160002
10006,44.224259,-76.495587,160003
10006,44.224287,-76.495274,160004
10006,44.224287,-76.495274,170001
10006,44.224310,-76.495020,170002
10006,44.222982,-76.495010,170003
10006,44.223001,-76.494297,170004
10006,44.223001,-76.494297,180001
10006,44.223010,-76.493954,180002
10006,44.223008,-76.493844,180003
10006,44.223000,-76.493735,180004
10006,44.222987,-76.493627,180005
10006,44.222979,-76.493574,180006
10006,44.222959,-76.493469,180007
10006,44.222933,-76.493364,180008
10006,44.222750,-76.492768,180009
10006,44.222733,-76.492699,180010
10006,44.222704,-76.492561,180011
10006,44.222682,-76.492419,180012
10006,44.222674,-76.492347,180013
10006,44.222661,-76.492204,180014
10006,44.222657,-76.492131,180015
10006,44.222655,-76.491987,180016
10006,44.222657,-76.491915,180017
10006,44.222684,-76.491450,180018
10006,44.222759,-76.490330,180019
10006,44.222770,-76.490306,180020
10006,44.223528,-76.490381,180021
10006,44.224748,-76.490509,180022
10006,44.224748,-76.490509,190001
10006,44.224942,-76.490529,190002
10006,44.225311,-76.490551,190003
10006,44.226894,-76.487955,190004
10006,44.226894,-76.487955,200001
10006,44.226894,-76.487954,200002
10006,44.226960,-76.487892,200003
10006,44.227754,-76.487183,200004
10006,44.228479,-76.486555,200005
10006,44.228479,-76.486555,210001
10006,44.228561,-76.486485,210002
10006,44.229305,-76.485837,210003
10006,44.230091,-76.485156,210004
10006,44.230345,-76.484948,210005
10006,44.230345,-76.484948,220001
10006,44.230933,-76.484467,220002
10006,44.231113,-76.485617,220003
10006,44.231113,-76.485617,230001
10006,44.231147,-76.485840,230002
10006,44.232046,-76.485561,230003
10006,44.232923,-76.485293,230004
10006,44.233201,-76.485209,230005
10006,44.233201,-76.485209,240001
10006,44.233529,-76.485108,240002
10006,44.234603,-76.485075,240003
10006,44.234603,-76.485075,250001
10006,44.234734,-76.485071,250002
10006,44.235821,-76.485108,250003
10006,44.236354,-76.485116,250004
10006,44.236354,-76.485116,260001
10006,44.236440,-76.485116,260002
