stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00001,,"1116 Hudson Drive (north side)",,  44.248611, -76.599676,,,0,
00002,,"Downing Street (north side of Hudson)",,  44.248738, -76.597340,,,0,
00003,,"Bayridge Park (east side of Hudson)",,  44.247209, -76.594020,,,0,
00004,,"Holgate Crescent (north side of Hudson)",,  44.245049, -76.592393,,,0,
00005,,"Holgate Crescent (south side of Hudson)",,  44.244901, -76.592618,,,0,
00006,,"Sheridan Street (west side of Andersen)",,  44.260393, -76.549104,,,0,
00007,,"W. J. Henderson Recreation Centre",,  44.225940, -76.658933,,,0,
00008,,"Collins Bay School (north side of Bath)",,  44.240991, -76.611012,,,0,
00010,,"Barnsley Crescent (south side of Acadia)",,  44.232194, -76.596370,,,0,
00011,,"1071 Acadia Drive (south side)",,  44.232302, -76.594344,,,0,
00012,,"Woodside Drive (east side of Mona)",,  44.252799, -76.602156,,,0,
00013,,"Collins Bay Road (south side of Aylmer)",,  44.249527, -76.610854,,,0,
00014,,"808 Aylmer Crescent (south side)",,  44.249457, -76.611928,,,0,
00015,,"Edwin Street (west side of Waverley)",,  44.246532, -76.611234,,,0,
00016,,"1346 Waverley Crescent (north side)",,  44.245600, -76.613478,,,0,
00017,,"Clark Crescent (east side of Aylmer)",,  44.246738, -76.615175,,,0,
00019,,"Sycamore Street (north side of Bath)",,  44.236009, -76.620922,,,0,
00020,,"Lower Drive (south side of Bath)",,  44.235592, -76.621216,,,0,
00021,,"Homeward Avenue (north side of Bath)",,  44.231803, -76.625191,,,0,
00022,,"Homeward Avenue (south side of Bath)",,  44.231497, -76.625153,,,0,
00023,,"Maple Ridge Drive (north side of Bath)",,  44.228050, -76.627525,,,0,
00024,,"Coronation Boulevard (south side of Bath)",,  44.224951, -76.628967,,,0,
00025,,"Coronation Boulevard (north side of Bath)",,  44.225073, -76.629173,,,0,
00026,,"Sackville Crescent (south side of Acadia)",,  44.232929, -76.598081,,,0,
00027,,"1189 Acadia Drive (west side of Acadia)",,  44.235320, -76.598681,,,0,
00030,,"Coverdale Drive (west side of Walden)",,  44.237889, -76.597904,,,0,
00031,,"Conservatory Pond (north side of Coverdale)",,  44.237438, -76.592063,,,0,
00035,,"McEwen Drive (north side of Bath)",,  44.237669, -76.574230,,,0,
00039,,"Taylor-Kidd Boulevard (east side of Progress)",,  44.248204, -76.578164,,,0,
00040,,"775 Progress Avenue (south side)",,  44.247564, -76.577801,,,0,
00041,,"Futures Gate (south side of Princess)",,  44.258027, -76.553042,,,0,
00042,,"King Street E. (south side of Princess)",,  44.231347, -76.481421,,,0,
00048,,"Assurant (west side of Gardiners)",,  44.272013, -76.569326,,,0,
00050,,"Trillium Ridge (west side of Edgar)",,  44.250517, -76.552933,,,0,
00051,,"Rockford Place (north side of Elliott)",,  44.256214, -76.501465,,,0,
00053,,"Russell Street (west side of Montreal)",,  44.244218, -76.487762,,,0,
00054,,"Joseph Street (west side of Montreal)",,  44.245948, -76.487455,,,0,
00055,,"Mowat Avenue (north side of Union)",,  44.221066, -76.519829,,,0,
00057,,"1135 Montreal Street (east side)",,  44.263926, -76.478457,,,0,
00058,,"Lance Street (south side of Craftsman)",,  44.243666, -76.447217,,,0,
00059,,"Moro Street (south side of Craftsman)",,  44.244026, -76.442719,,,0,
00060,,"Gore Road (west side of Rose Abbey)",,  44.259874, -76.449320,,,0,
00061,,"148 Grenadier Drive (north side)",,  44.258183, -76.453474,,,0,
