from_stop_id,to_stop_id,transfer_type,min_transfer_time
S02036,S02036,1,
S02036,S02037,2,0
S02036,S02039,2,0
S02036,S00032,2,0
S02036,S09202,2,0
S02037,S02037,1,
S02037,S02036,2,0
S02037,S02039,2,0
S02037,S00032,2,0
S02037,S09202,2,0
S02039,S02039,1,
S02039,S02036,2,0
S02039,S02037,2,0
S02039,S00032,2,0
S02039,S09202,2,0
S00032,S00032,1,
S00032,S02036,2,0
S00032,S02037,2,0
S00032,S02039,2,0
S00032,S09202,2,0
S09202,S09202,1,
S09202,S02036,2,0
S09202,S02037,2,0
S09202,S02039,2,0
S09202,S00032,2,0
S02077,S02077,1,
S02077,S02078,1,
S02078,S02078,1,
S02078,S02077,1,
S00052,S00052,1,
S00052,S02007,2,0
S00052,S02014,2,0
S02007,S02007,1,
S02007,S00052,2,0
S02007,S02014,2,0
S02014,S02014,1,
S02014,S00052,2,0
S02014,S02007,2,0
00238,02001,0,
00398,00396,0,
00398,00398,3,
00397,00396,0,
00402,00402,3,
00649,00649,3,
00799,00799,3,
00077,00077,3,
00217,00217,3,
00183,00183,3,
00183,00184,3,
00183,00200,3,
00183,00201,3,
00183,00202,3,
00183,00203,3,
00183,00204,3,
00183,00205,3,
00183,02018,3,
00184,00184,3,
00184,00183,3,
00184,00200,3,
00184,00201,3,
00184,00202,3,
00184,00203,3,
00184,00204,3,
00184,00205,3,
00184,02018,3,
00200,00200,3,
00200,00183,3,
00200,00184,3,
00200,00201,3,
00200,00202,3,
00200,00203,3,
00200,00204,3,
00200,00205,3,
00200,02018,3,
00201,00201,3,
00201,00183,3,
00201,00184,3,
00201,00200,3,
00201,00202,3,
00201,00203,3,
00201,00204,3,
00201,00205,3,
00201,02018,3,
00202,00202,3,
00202,00183,3,
00202,00184,3,
00202,00200,3,
00202,00201,3,
00202,00203,3,
00202,00204,3,
00202,00205,3,
00202,02018,3,
00203,00203,3,
00203,00183,3,
00203,00184,3,
00203,00200,3,
00203,00201,3,
00203,00202,3,
00203,00204,3,
00203,00205,3,
00203,02018,3,
00204,00204,3,
00204,00183,3,
00204,00184,3,
00204,00200,3,
00204,00201,3,
00204,00202,3,
00204,00203,3,
00204,00205,3,
00204,02018,3,
00205,00205,3,
00205,00183,3,
00205,00184,3,
00205,00200,3,
00205,00201,3,
00205,00202,3,
00205,00203,3,
00205,00204,3,
00205,02018,3,
02018,02018,3,
02018,00183,3,
02018,00184,3,
02018,00200,3,
02018,00201,3,
02018,00202,3,
02018,00203,3,
02018,00204,3,
02018,00205,3,
00270,00270,3,
00271,00271,3,
00295,00295,3,
00011,00011,1,
00011,00576,1,
00011,S09032,1,
00011,S09033,1,
00576,00011,1,
00576,00576,1,
00576,S09032,1,
00576,S09033,1,
S09032,00011,1,
S09032,00576,1,
S09032,S09032,1,
S09032,S09033,1,
S09033,00011,1,
S09033,00576,1,
S09033,S09032,1,
S09033,S09033,1,
00569,00569,1,
00569,00594,1,
00569,S09034,1,
00569,S09035,1,
00594,00569,1,
00594,00594,1,
00594,S09034,1,
00594,S09035,1,
S09034,00569,1,
S09034,00594,1,
S09034,S09034,1,
S09034,S09035,1,
S09035,00569,1,
S09035,00594,1,
S09035,S09034,1,
S09035,S09035,1,
S09036,S09036,1,
S09036,S09037,1,
S09036,09043,1,
S09037,S09036,1,
S09037,S09037,1,
S09037,09043,1,
09043,S09036,1,
09043,S09037,1,
09043,09043,1,
00459,00459,1,
00459,00460,1,
00459,00463,1,
00459,00750,1,
00459,00751,1,
00459,S09038,1,
00459,S09039,1,
00460,00459,1,
00460,00460,1,
00460,00463,1,
00460,00750,1,
00460,00751,1,
00460,S09038,1,
00460,S09039,1,
00463,00459,1,
00463,00460,1,
00463,00463,1,
00463,00750,1,
00463,00751,1,
00463,S09038,1,
00463,S09039,1,
00750,00459,1,
00750,00460,1,
00750,00463,1,
00750,00750,1,
00750,00751,1,
00750,S09038,1,
00750,S09039,1,
00751,00459,1,
00751,00460,1,
00751,00463,1,
00751,00750,1,
00751,00751,1,
00751,S09038,1,
00751,S09039,1,
S09038,00459,1,
S09038,00460,1,
S09038,00463,1,
S09038,00750,1,
S09038,00751,1,
S09038,S09038,1,
S09038,S09039,1,
S09039,00459,1,
S09039,00460,1,
S09039,00463,1,
S09039,00750,1,
S09039,00751,1,
S09039,S09038,1,
S09039,S09039,1,
S00272,S00272,1,
S00272,00273,1,
S00272,S00292,1,
00273,S00272,1,
00273,00273,1,
00273,S00292,1,
S00292,S00272,1,
S00292,00273,1,
S00292,S00292,1,
S00501,S00501,1,
S00501,S00502,1,
S00501,S00503,1,
S00501,S00504,1,
S00501,S00505,1,
S00501,S00506,1,
S00501,S09041,2,180
S00501,S09042,2,120
S00501,S09210,2,180
S00501,S09217,2,120
S00502,S00501,1,
S00502,S00502,1,
S00502,S00503,1,
S00502,S00504,1,
S00502,S00505,1,
S00502,S00506,1,
S00502,S09041,2,180
S00502,S09042,2,120
S00502,S09210,2,180
S00502,S09217,2,120
S00503,S00501,1,
S00503,S00502,1,
S00503,S00503,1,
S00503,S00504,1,
S00503,S00505,1,
S00503,S00506,1,
S00503,S09041,2,180
S00503,S09042,2,120
S00503,S09210,2,180
S00503,S09217,2,120
S00504,S00501,1,
S00504,S00502,1,
S00504,S00503,1,
S00504,S00504,1,
S00504,S00505,1,
S00504,S00506,1,
S00504,S09041,2,180
S00504,S09042,2,120
S00504,S09210,2,180
S00504,S09217,2,120
S00505,S00501,1,
S00505,S00502,1,
S00505,S00503,1,
S00505,S00504,1,
S00505,S00505,1,
S00505,S00506,1,
S00505,S09041,2,180
S00505,S09042,2,120
S00505,S09210,2,180
S00505,S09217,2,120
S00506,S00501,1,
S00506,S00502,1,
S00506,S00503,1,
S00506,S00504,1,
S00506,S00505,1,
S00506,S00506,1,
S00506,S09041,2,180
S00506,S09042,2,120
S00506,S09210,2,180
S00506,S09217,2,120
S09041,S09210,2,360
S09041,S09217,2,300
S09041,S00501,2,180
S09041,S00502,2,180
S09041,S00503,2,180
S09041,S00504,2,180
S09041,S00505,2,180
S09041,S00506,2,180
S09041,S09041,3,
S09041,S09042,2,60
S09042,S09210,2,300
S09042,S09217,2,240
S09042,S00501,2,120
S09042,S00502,2,120
S09042,S00503,2,120
S09042,S00504,2,120
S09042,S00505,2,120
S09042,S00506,2,120
S09042,S09041,2,60
S09042,S09042,3,
S09210,S00501,2,180
S09210,S00502,2,180
S09210,S00503,2,180
S09210,S00504,2,180
S09210,S00505,2,180
S09210,S00506,2,180
S09210,S09217,2,60
S09210,S09210,3,
S09210,S09041,2,360
S09210,S09042,2,300
S09217,S00501,2,120
S09217,S00502,2,120
S09217,S00503,2,120
S09217,S00504,2,120
S09217,S00505,2,120
S09217,S00506,2,120
S09217,S09210,2,60
S09217,S09217,3,
S09217,S09041,2,300
S09217,S09042,2,240
S00399,S00399,1,
S00399,S00400,1,
S00400,S00399,1,
S00400,S00400,1,
S00090,S00090,1,
S00090,00660,1,
S00090,00661,1,
S00090,S00662,1,
00660,S00090,1,
00660,00660,1,
00660,00661,1,
00660,S00662,1,
00661,S00090,1,
00661,00660,1,
00661,00661,1,
00661,S00662,1,
S00662,S00090,1,
S00662,00660,1,
S00662,00661,1,
S00662,S00662,1,
S02003,S02003,1,
S02003,S02004,2,60
S02003,S09015,2,60
S02003,09053,2,60
S02003,09054,2,60
S02004,S02003,2,60
S02004,S02004,1,
S02004,S09015,2,60
S02004,09053,2,60
S02004,09054,2,60
S09015,S02003,2,60
S09015,S02004,2,60
S09015,S09015,1,
S09015,09053,2,60
S09015,09054,2,60
09053,S02003,2,60
09053,S02004,2,60
09053,S09015,2,60
09053,09053,1,
09053,09054,2,60
09054,S02003,2,60
09054,S02004,2,60
09054,S09015,2,60
09054,09053,2,60
09054,09054,1,
00004,00004,1,
00004,00005,1,
00004,00630,1,
00004,00631,1,
00004,S09030,1,
00004,S09031,1,
00005,00004,1,
00005,00005,1,
00005,00630,1,
00005,00631,1,
00005,S09030,1,
00005,S09031,1,
00630,00004,1,
00630,00005,1,
00630,00630,1,
00630,00631,1,
00630,S09030,1,
00630,S09031,1,
00631,00004,1,
00631,00005,1,
00631,00630,1,
00631,00631,1,
00631,S09030,1,
00631,S09031,1,
S09030,00004,1,
S09030,00005,1,
S09030,00630,1,
S09030,00631,1,
S09030,S09030,1,
S09030,S09031,1,
S09031,00004,1,
S09031,00005,1,
S09031,00630,1,
S09031,00631,1,
S09031,S09030,1,
S09031,S09031,1,
00013,00013,1,
00013,09002,1,
00013,09005,1,
09002,00013,1,
09002,09002,1,
09002,09005,1,
09005,00013,1,
09005,09002,1,
09005,09005,1,
00012,00012,1,
00012,00540,1,
00012,09003,1,
00012,09004,1,
00540,00012,1,
00540,00540,1,
00540,09003,1,
00540,09004,1,
09003,00012,1,
09003,00540,1,
09003,09003,1,
09003,09004,1,
09004,00012,1,
09004,00540,1,
09004,09003,1,
09004,09004,1,
00733,00733,1,
00733,00734,1,
00733,09028,1,
00733,09029,1,
00734,00733,1,
00734,00734,1,
00734,09028,1,
00734,09029,1,
09028,00733,1,
09028,00734,1,
09028,09028,1,
09028,09029,1,
09029,00733,1,
09029,00734,1,
09029,09028,1,
09029,09029,1,
00510,00510,1,
00510,00511,1,
00510,02063,1,
00510,02064,1,
00511,00510,1,
00511,00511,1,
00511,02063,1,
00511,02064,1,
02063,00510,1,
02063,00511,1,
02063,02063,1,
02063,02064,1,
02064,00510,1,
02064,00511,1,
02064,02063,1,
02064,02064,1,
00412,00412,1,
00412,S00413,1,
00412,S09040,1,
S00413,00412,1,
S00413,S00413,1,
S00413,S09040,1,
S09040,00412,1,
S09040,S00413,1,
S09040,S09040,1,
00181,00181,1,
00181,00182,1,
00181,00847,1,
00182,00181,1,
00182,00182,1,
00182,00847,1,
00847,00181,1,
00847,00182,1,
00847,00847,1,
S00584,S00584,1,
S00584,00586,1,
S00584,S02076,1,
00586,S00584,1,
00586,00586,1,
00586,S02076,1,
S02076,S00584,1,
S02076,00586,1,
S02076,S02076,1,
S02074,S02074,1,
S02074,S02075,1,
