route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501-17,15MAY-Vehicle-Weekday-22,375240-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010001
501-17,15MAY-Vehicle-Weekday-22,375241-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010001
501-17,15MAY-Vehicle-Weekday-22,375242-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010001
501-17,15MAY-Vehicle-Weekday-22,375243-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010001
501-17,15MAY-Vehicle-Weekday-22,375244-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010001
501-17,15MAY-Vehicle-Weekday-22,375245-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010001
501-17,15MAY-Vehicle-Weekday-22,375246-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375247-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010001
501-17,15MAY-Vehicle-Weekday-22,375248-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375249-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010001
501-17,15MAY-Vehicle-Weekday-22,375250-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375251-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010001
501-17,15MAY-Vehicle-Weekday-22,375252-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375253-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010001
501-17,15MAY-Vehicle-Weekday-22,375254-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375255-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010001
501-17,15MAY-Vehicle-Weekday-22,375256-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375257-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375258-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375259-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375260-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375261-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375262-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375263-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375264-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375265-15MAY-Vehicle-Weekday-22,"Express",0,41182,5010001
501-17,15MAY-Vehicle-Weekday-22,375266-15MAY-Vehicle-Weekday-22,"Express",0,41220,5010001
501-17,15MAY-Vehicle-Weekday-22,375267-15MAY-Vehicle-Weekday-22,"Express",0,41178,5010007
501-17,15MAY-Vehicle-Weekday-22,375268-15MAY-Vehicle-Weekday-22,"Express",0,41179,5010007
501-17,15MAY-Vehicle-Weekday-22,375269-15MAY-Vehicle-Weekday-22,"Express",0,41178,5010007
501-17,15MAY-Vehicle-Weekday-22,375270-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010007
501-17,15MAY-Vehicle-Weekday-22,375271-15MAY-Vehicle-Weekday-22,"Express",0,41179,5010007
501-17,15MAY-Vehicle-Weekday-22,375272-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010007
501-17,15MAY-Vehicle-Weekday-22,375273-15MAY-Vehicle-Weekday-22,"Express",0,41178,5010007
501-17,15MAY-Vehicle-Weekday-22,375274-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010007
501-17,15MAY-Vehicle-Weekday-22,375275-15MAY-Vehicle-Weekday-22,"Express",0,41179,5010007
501-17,15MAY-Vehicle-Weekday-22,375276-15MAY-Vehicle-Weekday-22,"Express",0,41180,5010007
501-17,15MAY-Vehicle-Weekday-22,375277-15MAY-Vehicle-Weekday-22,"Express",0,41178,5010007
501-17,15MAY-Vehicle-Weekday-22,375278-15MAY-Vehicle-Weekday-22,"Express",0,41221,5010007
501-17,15MAY-Vehicle-Weekday-22,375279-15MAY-Vehicle-Weekday-22,"Express",0,41179,5010007
502-17,15MAY-Vehicle-Weekday-22,375280-15MAY-Vehicle-Weekday-22,"Express",1,41183,5020008
