stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
44.068092,1,1977,-79.483827,,,,,YONGE ST / ASPENWOOD DR,0,3382,
43.897649,1,1368,-79.279211,,,,,BUR OAK AV / DOGWOOD ST,0,1867,
43.84417,1,3359,-79.62841,,,,,ISLINGTON AV / NASHVILLE RD,0,593,
43.865355,1,1585,-79.242542,,,,,ROUGE BANK DR / RUSSELL JARVIS DR,0,2031,
43.804004,2,1367,-79.416282,,,,,DONCASTER AV STOP # 1367,0,1866,
43.820434,1,1343,-79.387736,,,,,JOHN ST / AILEEN RD,0,1843,
44.21207,2,5171,-79.464901,,,,,THE QUEENSWAY / GLENWOODS AV,0,4026,
43.898488,1,1370,-79.275559,,,,,BUR OAK AV / MINGAY AV,0,1869,
44.205099,2,5170,-79.467198,,,,,THE QUEENSWAY / HOLLYWOOD DR,0,4025,
44.006051,2,5080,-79.43913,,,,,WELLINGTON ST / CONOVER AV,0,4022,
44.007329,1,5081,-79.433487,,,,,WELLINGTON ST / STRONACH BLVD,0,4023,
44.005262,1,5078,-79.443617,,,,,WELLINGTON ST / BAYVIEW AV,0,4020,
43.999191,2,5079,-79.477638,,,,,MCDONALD DR / HAIDA DR,0,4021,
44.083902,1,4438,-79.436362,,,,,LESLIE ST / GREEN LANE,0,3798,
43.826813,1,3409,-79.389816,,,,,WILLOWBROOK RD / HOLM CRES,0,643,
44.248536,2,5174,-79.483509,,,,,METRO RD / OLD HOMESTEAD RD,0,4028,
44.245985,2,5175,-79.480651,,,,,METRO RD / NIDA DR,0,4029,
43.937589,2,5653,-79.473005,,,,,KINGSHILL RD / NEWBRIDGE AV,0,5988,
44.058153,2,5697,-79.493721,,,,,WOODSPRING AV / WILLIAM BOOTH AV,0,5989,
43.796188,1,3358,-79.459378,,,,NEW WESTMINSTER DR & JOSEPH AARON BLVD,NEW WESTMINSTER DR / JOSEPH AARON B,0,592,
43.876278,1,1584,-79.358228,,,,,RODICK RD / MACRILL RD,0,2030,
44.306575,2,5399,-79.32212,,,,,HIGHWAY 48 / PARK RD,0,5982,
44.060804,2,5423,-79.473702,,,,,HARRISON DR / CHERRYWOOD DR,0,5983,
44.329149,2,5393,-79.223204,,,,,HIGHWAY 48 / HOLMES POINT RD,0,5980,
44.315385,2,5398,-79.283134,,,,,HIGHWAY 48 / VIRGINIA BLVD,0,5981,
43.894757,1,4198,-79.441377,,,,,BERNARD TERMINAL PLATFORM 6,0,1033,
43.931873,2,5474,-79.476921,,,,,KINGSHILL RD / ROWLEY ST,0,5984,
43.932449,2,5475,-79.474139,,,,,KINGSHILL RD / HOLTBY ST,0,5985,
44.051177,1,2616,-79.479677,,,,,YONGE ST / MILLARD AV,0,344,
44.033086,1,2617,-79.475459,,,,,YONGE ST / SAWMILL VALLEY DR,0,345,
44.01845,1,2619,-79.472208,,,,,YONGE ST / ST. JOHN'S SDRD,0,347,
44.060872,1,2519,-79.481709,,,,,YONGE ST / KINGSTON RD,0,340,
44.071102,1,2582,-79.484559,,,,,YONGE ST STOP # 2582,0,341,
44.061675,2,5057,-79.462242,,,,,MAIN ST / PENN AV,0,3999,
44.054155,2,2600,-79.483007,,,,,DAVIS DR STOP # 2600,0,343,
44.015695,1,5026,-79.446371,,,,,BAYVIEW AV / HOLLANDVIEW TRL,0,3997,
44.026176,2,5025,-79.448687,,,,,BAYVIEW AV / BALLYMORE DR,0,3996,
44.07203,1,5023,-79.452129,,,,,ELGIN ST / BAYVIEW PKWY,0,3995,
44.046469,1,5018,-79.47375,,,,,EAGLE ST / DONLIN AV,0,3994,
44.013564,1,2620,-79.471047,,,,,YONGE ST STOP # 2620,0,348,
43.959468,2,2659,-79.458209,,,,,YONGE ST / COON'S RD,0,349,
44.036012,2,5015,-79.430333,,,,,STONEHAVEN AV / LOCKWOOD CIR,0,3991,
44.035932,2,5014,-79.435627,,,,,STONEHAVEN AV / LOCKWOOD CIR,0,3990,
43.839456,1,3968,-79.508947,,,,,KEELE ST / DINA RD,0,964,
43.836633,1,3969,-79.508349,,,,,KEELE ST / RUTHERFORD RD,0,965,
43.861699,1,3978,-79.543344,,,,,AMERICA AV / COAST AV,0,967,
43.838385,1,3970,-79.525604,,,,,MELVILLE AV / PARKTREE DR,0,966,
43.851586,1,6766,-79.344517,,,,,CLEGG RD STOP #6766,0,6355,
43.925991,1,6407,-79.450276,,,,YONGE ST & STOUFVILLE RD,YONGE ST / STOUFFVILLE RD,0,6157,
43.852815,2,3964,-79.51201,,,,,KEELE ST STOP # 3964,0,960,
43.874742,1,5790,-79.471879,,,,QUEEN FILOMENA AV & RIVERMILL CRES,VIA ROMANO BLVD / RIVERMILL CRES,0,3236,
43.773322,1,5691,-79.626181,,,,,VAUGHAN VALLEY BLVD / HIGHWAY 7,0,4732,
43.849014,1,5727,-79.561437,,,,,WESTON RD / RETREAT BLVD,0,4733,
43.845755,1,3966,-79.510419,,,,KEELE ST & KNIGHTSWOOD AVE,KEELE ST / KNIGHTSWOOD AV,0,962,
