service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
81_merged_3458825,20150419,20150627,0,0,0,0,0,0,0
76_merged_3458819,20150419,20150627,0,0,0,0,0,0,0
2465803,20150419,20150627,0,0,0,0,0,0,0
2460302,20150419,20150627,0,0,0,0,0,0,0
2460303,20150419,20150627,0,0,0,0,0,0,0
2461201_merged_3458815,20150104,20150418,0,0,0,0,0,0,0
2_merged_3458809,20150104,20150418,0,0,0,0,0,1,0
74_merged_3458826,20150419,20150627,0,0,0,0,0,0,0
3_merged_3458804,20150104,20150418,0,0,0,0,0,0,1
3458701,20150104,20150418,0,0,0,0,0,0,0
82_merged_3458822,20150419,20150627,0,0,0,0,0,0,0
3268103,20150104,20150418,0,0,0,0,0,0,0
2461101_merged_3458811,20150104,20150418,0,0,0,0,0,0,0
1_merged_3458818,20150419,20150627,1,1,1,1,1,0,0
2465802,20150419,20150627,0,0,0,0,0,0,0
75_merged_3458808,20150104,20150418,0,0,0,0,0,0,0
76_merged_3458807,20150104,20150418,0,0,0,0,0,0,0
3458801,20150104,20150418,0,0,0,0,0,0,0
2_merged_3458821,20150419,20150627,0,0,0,0,0,1,0
2461001_merged_3458805,20150104,20150418,0,0,0,0,0,0,0
75_merged_3458820,20150419,20150627,0,0,0,0,0,0,0
80_merged_3458812,20150104,20150418,0,0,0,0,0,0,0
74_merged_3458814,20150104,20150418,0,0,0,0,0,0,0
2461201_merged_3458827,20150419,20150627,0,0,0,0,0,0,0
2461001_merged_3458817,20150419,20150627,0,0,0,0,0,0,0
3_merged_3458816,20150419,20150627,0,0,0,0,0,0,1
2461101_merged_3458823,20150419,20150627,0,0,0,0,0,0,0
2460403,20150419,20150627,0,0,0,0,0,0,0
2460402,20150419,20150627,0,0,0,0,0,0,0
80_merged_3458824,20150419,20150627,0,0,0,0,0,0,0
82_merged_3458810,20150104,20150418,0,0,0,0,0,0,0
1_merged_3458806,20150104,20150418,1,1,1,1,1,0,0
81_merged_3458813,20150104,20150418,0,0,0,0,0,0,0
2465703,20150419,20150627,0,0,0,0,0,0,0
2465702,20150419,20150627,0,0,0,0,0,0,0
