block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_62187,1,19,1,1,Finch Terminal via Clark - EB,34652,3_merged_3458804,684233,
a_62241,1,5337,1,0,26 Maple Local,34644,81_merged_3458813,684980,
a_62185,1,19,1,1,Finch Terminal via Clark - EB,34652,3_merged_3458804,684231,
a_62187,1,19,1,1,Finch Terminal via Clark - EB,34652,3_merged_3458804,684230,
a_62188,1,385,1,0,Leslie Street - EB,34662,3_merged_3458804,684237,
a_62190,1,385,1,0,Leslie Street - EB,34662,3_merged_3458804,684236,
a_62189,1,385,1,0,Leslie Street - EB,34662,3_merged_3458804,684235,
a_62188,1,385,1,0,Leslie Street - EB,34662,3_merged_3458804,684234,
a_62241,1,5337,1,0,26 Maple Local,34644,81_merged_3458813,684989,
a_62241,1,5337,1,0,26 Maple Local,34644,81_merged_3458813,684988,
a_62190,1,385,1,0,Leslie Street - EB,34662,3_merged_3458804,684239,
a_62189,1,385,1,0,Leslie Street - EB,34662,3_merged_3458804,684238,
a_61979,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681609,
a_61979,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681607,
a_61883,1,380,1,0,41 Markham Local,34410,3_merged_3458804,680204,
b_65370,1,2,1,0,Markham Stouffville Hospital - EB,36348,1_merged_3458818,716467,
a_61978,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681606,
b_65470,1,2,1,1,York U - WB,36352,3_merged_3458816,717623,
a_61979,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681601,
a_62441,1,2,1,0,Markham Stouffville Hospital - EB,34942,1_merged_3458806,687802,
a_61978,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681600,
b_64757,1,799,1,0,Oak Ridges - NB,35887,1_merged_3458818,708454,
a_61979,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681603,
b_65176,1,19,1,1,Finch Terminal via Clark - EB,36062,80_merged_3458824,713908,
a_61978,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681602,
a_61884,1,380,1,0,41 Markham Local,34410,3_merged_3458804,680205,
a_62484,2,1_merged_3458802,1,0,Finch Terminal - SB,34933,1_merged_3458806,687565,
b_65368,2,2,1,0,Markham Stouffville Hospital - EB,36348,1_merged_3458818,716464,
a_62474,2,1_merged_3458802,1,0,Finch Terminal - SB,34932,1_merged_3458806,687500,
b_65469,1,2,1,1,York U - WB,36352,3_merged_3458816,717622,
b_64748,1,22,1,0,Finch Terminal - SB,35877,1_merged_3458818,708325,
b_64999,1,17,1,1,Teston Rd - NB,36050,1_merged_3458818,711838,
b_65001,1,17,1,1,Teston Rd - NB,36049,1_merged_3458818,711839,
a_62472,2,1_merged_3458802,1,0,Finch Terminal - SB,34932,1_merged_3458806,687501,
b_65000,1,17,1,1,Teston Rd - NB,36049,1_merged_3458818,711834,
b_65000,1,17,1,1,Teston Rd - NB,36050,1_merged_3458818,711835,
b_65001,1,17,1,1,Teston Rd - NB,36050,1_merged_3458818,711836,
b_65002,1,17,1,1,Teston Rd - NB,36050,1_merged_3458818,711837,
b_64999,1,17,1,1,Teston Rd - NB,36049,1_merged_3458818,711830,
a_62465,1,1_merged_3458802,1,0,Finch Terminal - SB,34932,1_merged_3458806,687502,
b_65002,1,17,1,1,Teston Rd - NB,36049,1_merged_3458818,711832,
b_65001,1,17,1,1,Teston Rd - NB,36049,1_merged_3458818,711833,
b_64688,1,383,1,0,Bernard Terminal - NB,35847,1_merged_3458818,708021,
a_62475,1,1_merged_3458802,1,0,Finch Terminal - SB,34932,1_merged_3458806,687503,
b_64756,1,799,1,0,Oak Ridges - NB,35888,1_merged_3458818,708452,
b_64687,1,383,1,0,Bernard Terminal - NB,35847,1_merged_3458818,708020,
a_62466,1,1_merged_3458802,1,0,Finch Terminal - SB,34932,1_merged_3458806,687504,
a_61883,1,380,1,0,41 Markham Local,34410,3_merged_3458804,680202,
b_64758,1,799,1,0,Oak Ridges - NB,35887,1_merged_3458818,708453,
b_64688,1,383,1,0,Bernard Terminal - NB,35847,1_merged_3458818,708023,
a_61978,1,25,1,0,Finch Terminal - SB,34488,81_merged_3458813,681608,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687184,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687185,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687186,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687187,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687180,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687181,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687182,
a_62388,1,285,1,0,404 Town Centre - EB,34860,80_merged_3458812,687183,
b_65028,1,385,1,0,Leslie Street - EB,36068,1_merged_3458818,712127,
b_65035,1,385,1,0,Leslie Street - EB,36068,1_merged_3458818,712126,
b_65034,1,385,1,0,Leslie Street - EB,36068,1_merged_3458818,712125,
a_61919,1,6259,1,1,Main St - WB,34386,80_merged_3458812,680735,
a_62388,1,285,1,1,Newmarket Terminal via Ringwell - WB,34862,80_merged_3458812,687188,
a_62388,1,285,1,1,Newmarket Terminal via Ringwell - WB,34862,80_merged_3458812,687189,
b_65032,1,385,1,0,Leslie Street - EB,36068,1_merged_3458818,712121,
b_65028,1,385,1,0,Leslie Street - EB,36068,1_merged_3458818,712120,
b_64728,1,383,1,0,Richmond Hill H.S. via Bernard Terminal - NB,35848,1_merged_3458818,708027,
a_61884,1,380,1,0,41 Markham Local,34410,3_merged_3458804,680203,
b_64687,1,383,1,0,Bernard Terminal - NB,35847,1_merged_3458818,708026,
